Number,Address,List Date,Price,Days on market,Total floor area,Year Built,Age,Lot Size,Latitude,Longitude
768,4333 ELGIN STREET,2/10/2020,1325000,23,1900,1910,110,3811.5,49.246239,-123.0830213
769,2506 GARDEN DRIVE,10/31/2019,1475000,176,1720,1946,74,4360.0,49.2620483,-123.0578347
770,759 E 51ST AVENUE,10/22/2019,1625000,11,2348,2003,16,4365.0,49.2237685,-123.0890895
771,3403 CAROLINA STREET,5/11/2020,1044000,16,2120,1911,109,2792.7,49.2545292,-123.0922033
772,2991 TURNER STREET,5/27/2019,2105000,97,3748,2019,0,4356.0,49.2793417,-123.0419154
773,2662 FRANKLIN STREET,1/28/2020,1471000,6,2620,1982,38,4026.0,49.28183629999999,-123.0504556
774,3215 GRANT STREET,3/19/2020,1420000,45,2474,1985,35,4191.0,49.2715841,-123.0360774
775,741 E 11TH AVENUE,5/28/2019,1651000,55,3777,1912,107,4026.0,49.26083819999999,-123.0881338
776,5379 SHERBROOKE STREET,3/24/2020,1400000,7,2309,1946,74,4054.0,49.2358658,-123.0814263
777,171 E 28TH AVENUE,2/20/2020,1650171,4,2717,1910,110,3394.0,49.2461948,-123.1021027
778,5195 SPENCER STREET,6/14/2019,1120000,115,1635,1947,73,4125.0,49.2374946,-123.039554
779,8149 MONTCALM STREET,1/6/2020,3000000,34,3365,2012,8,4014.45,49.2119514,-123.1359754
780,2327 E 28TH AVENUE,11/19/2019,1598000,41,1457,1945,75,6039.0,49.2460665,-123.0582236
781,8032 SHAUGHNESSY STREET,11/1/2019,1590000,34,1823,1946,73,4088.18,49.212653,-123.1284236
782,1665 E 58TH AVENUE,6/14/2019,1854000,94,2422,2002,17,4939.0,49.2174079,-123.072747
783,3569 W 21ST AVENUE,10/8/2019,2345000,5,2511,1930,89,4026.0,49.253972,-123.183854
784,910 E 56TH AVENUE,11/12/2019,1695000,51,2230,2003,17,4429.6,49.2188385,-123.0862011
785,3455 WILLIAM STREET,12/17/2019,985000,8,680,1947,73,3547.5,49.2743411,-123.0295972
786,3226 GRANT STREET,11/12/2019,2142857,53,3623,2019,1,4191.0,49.27115670000001,-123.035815
787,3544 QUEBEC STREET,9/9/2019,1630000,7,1860,1913,106,1772.8,49.2532985,-123.1025937
788,3346 E 8TH AVENUE,8/26/2019,995000,2,1579,1948,71,4024.78,49.2627123,-123.032214
789,1334 E 35TH AVENUE,3/2/2020,1300000,7,1718,1947,73,3657.0,49.2383366,-123.0783222
790,3752 W 50TH AVENUE,2/18/2020,2480000,8,2628,1957,63,9141.0,49.2263165,-123.1876746
791,5612 OLYMPIC STREET,2/18/2020,2950000,69,3643,1930,90,5746.0,49.2355513,-123.1893452
792,4975 CHESTER STREET,8/21/2019,1620000,48,1991,1950,69,6044.64,49.2395316,-123.0894783
793,3439 FRANKLIN STREET,11/18/2019,1200000,65,1597,1928,92,4026.0,49.28223879999999,-123.0298662
794,1163 W 64TH AVENUE,3/5/2020,1948000,10,2114,1994,26,3696.0,49.2132265,-123.132214
795,2889 MCGILL STREET,3/17/2020,960000,50,800,1948,72,4026.0,49.2890157,-123.0446336
796,6936 CULLODEN STREET,4/17/2019,1563000,56,2251,2003,16,4092.0,49.2213181,-123.0785341
797,455 E 17TH AVENUE,3/11/2020,2720000,5,3223,2006,14,5977.0,49.2560008,-123.0951484
798,4435 PRINCE ALBERT STREET,4/20/2020,1319000,7,1533,1910,110,3399.0,49.2451868,-123.0881779
799,3791 W 41ST AVENUE,7/25/2019,2130000,6,3842,1982,37,5643.61,49.2350156,-123.1880799
800,2340 E 4TH AVENUE,3/3/2020,1555000,6,2336,1949,71,4026.0,49.2665976,-123.0574987
801,225 E 58TH AVENUE,11/12/2019,1250000,8,1619,1960,59,3692.7,49.2178079,-123.1009913
802,2221 W 16TH AVENUE,7/16/2019,2265000,13,2730,1973,46,6250.0,49.2575841,-123.1560277
803,636 CASSIAR STREET,2/17/2020,1041000,3,2590,1914,106,4026.0,49.2784835,-123.0305768
804,5628 KILLARNEY STREET,4/8/2019,1176000,136,1581,1953,66,4071.87,49.2338043,-123.0456315
805,3184 E 23RD AVENUE,11/27/2019,1280000,7,2359,1945,74,3960.0,49.2494424,-123.0372749
806,3338 W 31ST AVENUE,7/22/2019,2350000,136,2000,1937,82,5340.35,49.24399210000001,-123.1794922
807,3151 EAST 7TH AVENUE,3/10/2020,1290000,6,2005,1958,62,4026.0,49.2640596,-123.0378501
808,3388 W 33RD AVENUE,7/25/2019,2050000,20,2197,1928,91,7012.5,49.2421314,-123.1802827
809,454 E 54TH AVENUE,7/12/2019,1542180,9,2460,1986,33,4026.0,49.2206654,-123.095656
810,4782 BRUCE STREET,6/3/2019,2180000,7,3537,2019,0,4059.0,49.2417928,-123.0691934
811,1576 E 62ND AVENUE,2/3/2020,1391000,8,2054,1954,66,5074.0,49.2135445,-123.0747735
812,3888 W 22ND AVENUE,9/6/2019,2910000,78,2485,1930,89,6041.48,49.2526702,-123.1904087
813,350 E 60TH AVENUE,10/23/2019,1638000,31,2013,2011,8,3551.22,49.2156123,-123.0990959
814,2336 W 20TH AVENUE,7/29/2019,2950000,32,4581,1985,34,6100.0,49.2542903,-123.1589153
815,2271 E 44TH AVENUE,6/17/2019,1437500,36,2615,1971,48,3816.0,49.2305401,-123.0605722
816,1790 W 62 AVENUE,6/2/2019,2750000,175,3931,1987,32,5373.0,49.2148067,-123.1472229
817,3676 ST. CATHERINES STREET,5/25/2020,2356000,8,2400,1941,79,4200.0,49.2521089,-123.0854798
818,3582 FRANKLIN STREET,2/22/2019,1750000,117,3453,2018,1,4026.0,49.2818663,-123.0263771
819,3661 CAMBRIDGE STREET,9/30/2019,1280000,7,1933,1943,76,4024.68,49.28700389999999,-123.0243174
820,1716 NASSAU DRIVE,10/7/2019,1237100,122,1917,1950,70,4274.0,49.2177523,-123.0706682
821,3508 W 17TH AVENUE,6/28/2019,2880000,110,2317,2016,3,3300.0,49.2574289,-123.1822895
822,3664 W 15TH AVENUE,4/8/2019,2345000,57,3249,1915,104,4026.99,49.2587476,-123.1854563
823,2938 CHARLES STREET,6/12/2019,2175000,126,3717,2019,0,4191.0,49.2730354,-123.0432079
824,5657 KERR STREET,6/27/2019,1359000,50,1942,1997,22,3450.0,49.2333778,-123.040589
825,6350 CHESTER STREET,5/16/2020,1330000,4,2100,1920,100,4026.0,49.2268644,-123.0889878
826,319 E 38TH AVENUE,5/13/2020,1585000,6,2399,1968,52,3936.0,49.2365073,-123.0989092
827,3582 E 26TH AVENUE,7/17/2019,1650000,41,2034,2010,9,3630.0,49.2468551,-123.0265569
828,1525 E 31ST AVENUE,1/26/2020,1200000,21,2094,1980,40,3354.42,49.2431488,-123.073138
829,7218 CARTIER STREET,9/30/2019,2779000,15,4122,1994,25,6875.0,49.2203261,-123.1373845
830,6520 VINE STREET,5/6/2019,1798000,47,1867,1945,74,3453.0,49.2266928,-123.1597924
831,3228 E 45TH AVENUE,12/3/2019,2270000,37,3669,2008,12,6236.79,49.2290641,-123.0367142
832,381 E 41ST AVENUE,9/30/2019,1000000,37,1814,1946,73,3650.79,49.2332589,-123.0976574
833,2078 E 7TH AVENUE,9/9/2019,2688000,29,2750,1940,79,4026.0,49.2639333,-123.0625084
834,8175 LAUREL STREET,1/10/2020,2700000,29,3615,1994,26,6031.08,49.21165000000001,-123.1263735
835,4450 GRANVILLE STREET,1/16/2020,2949900,18,2491,1946,74,10846.28,49.2459814,-123.1387092
836,20 E 60TH AVENUE,2/6/2020,1290000,13,1625,1925,95,3330.0,49.2157298,-123.1055556
837,3405 W 23RD AVENUE,5/29/2019,2000000,131,1700,1925,94,3782.0,49.2520994,-123.180277
838,2412 E 28TH AVENUE,8/7/2019,1058000,47,2136,1955,64,3630.0,49.2452242,-123.0558448
839,6664 VICTORIA DRIVE,10/15/2019,1285000,29,2479,1972,47,3904.23,49.2234602,-123.0654903
840,6415 CHESTER STREET,9/30/2019,1350000,7,2106,1935,84,4026.0,49.2263227,-123.0897242
841,2964 W 28TH AVENUE,12/2/2019,2230000,41,301,1936,84,4290.0,49.2468252,-123.1719233
842,3500 WILLOW STREET,2/21/2020,2480000,3,2482,1911,109,2683.56,49.2541772,-123.1218667
843,5866 JOYCE STREET,3/26/2020,1351000,4,2273,1980,40,3562.0,49.2305617,-123.0371086
844,3669 MAXWELL STREET,10/15/2019,1155000,5,1128,2012,7,1300.0,49.2518823,-123.0703817
845,511 GARDEN DRIVE,1/28/2020,2189000,32,2221,2020,0,2873.0,49.28003690000001,-123.058131
846,645 E 58TH AVENUE,12/11/2019,1530000,1,2961,1975,44,5508.0,49.217445,-123.0921978
847,8567 CORNISH STREET,7/22/2019,2301000,79,3092,1997,22,5162.0,49.2090241,-123.1425045
848,1878 STAINSBURY AVENUE,3/18/2019,940000,113,2066,1912,107,2884.0,49.2518659,-123.0671275
849,3825 W 19TH AVENUE,8/19/2019,2188000,4,2401,1925,94,4026.0,49.2558066,-123.1888016
850,8549 OSLER STREET,1/6/2020,1557500,53,2030,1927,93,4026.0,49.2091053,-123.1319607
851,4018 FLEMING STREET,9/24/2019,1333000,36,1790,1914,105,3272.05,49.249385,-123.0722434
852,2131 FRASERVIEW DRIVE,6/10/2019,1392000,52,2815,1979,40,4869.84,49.2117006,-123.0635408
853,2123 E 1ST AVENUE,8/20/2019,1700000,191,2050,1922,98,4026.0,49.26974680000001,-123.0612864
854,4289 ELGIN STREET,7/17/2019,1615000,4,2133,1980,39,3481.5,49.24667549999999,-123.0830683
855,1635 E 57TH AVENUE,4/30/2020,1270000,3,1572,1953,67,4075.5,49.21832300000001,-123.0732341
856,4034 W 14TH AVENUE,2/18/2020,2750000,4,2949,1928,92,5368.0,49.2597268,-123.1951488
857,158 E 44TH AVENUE,7/16/2019,1452500,19,1993,1948,71,3894.4,49.2301103,-123.1025565
858,1132 E 49TH AVENUE,12/19/2019,1055000,14,1664,1945,75,3432.0,49.2251539,-123.0823678
859,2650 MCGILL STREET,9/20/2019,1090000,66,1566,1950,69,4014.0,49.2884537,-123.0502878
860,323 E WOODSTOCK AVENUE,1/15/2020,1582000,22,2135,1994,26,4125.0,49.2337966,-123.0989608
861,2433 GALT STREET,7/5/2019,1385000,122,2541,1993,26,4026.0,49.242332,-123.0561143
862,1438 E 17TH AVENUE,1/30/2020,1611000,11,2938,1971,49,5911.0,49.25515009999999,-123.0747439
863,778 W 69TH AVENUE,1/28/2020,1629000,13,2240,1975,45,3993.0,49.2091336,-123.1234454
864,1244 E KING EDWARD AVENUE,9/30/2019,1250000,7,1823,1913,106,4570.5,49.2483608,-123.0792344
865,2552 E 2ND AVENUE,8/8/2019,2110000,5,3457,2019,0,4026.0,49.2682473,-123.0534004
866,1717 E 49TH AVENUE,7/22/2019,1725000,30,3136,1992,27,5254.5,49.2254462,-123.0710736
867,5845 CULLODEN STREET,5/27/2019,1300000,103,2388,1975,44,4035.9,49.2314223,-123.078817
868,1404 PARKER STREET,5/23/2019,1350000,43,2324,2005,14,2542.0,49.27564040000001,-123.075705
869,2762 MCGILL STREET,6/3/2019,1199000,5,1819,1947,72,4019.83,49.28847649999999,-123.0478381
870,4812 DUMFRIES STREET,11/26/2019,2130000,21,3452,2012,7,4158.0,49.24139330000001,-123.0732659
871,2262 E 44 TH AVENUE,7/22/2019,1185000,85,1224,1926,93,3816.12,49.2300962,-123.0607313
872,3658 E 48TH AVENUE,1/14/2020,1633000,7,2787,1971,49,6313.2,49.2249989,-123.0245941
873,660 E 52ND AVENUE,7/11/2019,2360000,225,3342,1980,40,8174.0,49.2224917,-123.0917962
874,2755 ALMA STREET,11/12/2019,1615000,2,1944,1928,91,3960.0,49.2620706,-123.1863915
875,2535 E 1ST AVENUE,2/3/2020,1275000,7,2003,1952,68,4500.0,49.2697955,-123.0535226
876,6151 ST. CATHERINES STREET,11/7/2019,1588008,5,2475,1969,50,4026.0,49.2286474,-123.0869378
877,3354 W 10TH AVENUE,10/8/2019,2255000,92,3128,1928,92,6466.0,49.2631463,-123.1789774
878,3636 W 11TH AVENUE,9/16/2019,2041000,0,2399,1973,46,4027.98,49.2623171,-123.1847736
879,826 NOOTKA STREET,9/3/2019,1155000,3,2082,1970,49,3435.0,49.2771489,-123.0410366
880,3235 W 12TH AVENUE,6/10/2019,2300000,8,2172,1928,91,4841.0,49.2617234,-123.1767458
881,5323 SLOCAN STREET,4/1/2020,1153000,6,1798,1957,63,3432.0,49.2364924,-123.0545731
882,6435 NANAIMO STREET,7/25/2019,1285000,1,2500,1961,58,5468.0,49.22574969999999,-123.059504
883,1204 LILLOOET STREET,9/30/2019,1705000,7,2509,2011,8,3587.43,49.2741626,-123.038671
884,2929 W 29TH AVENUE,11/1/2019,2000000,12,2494,1937,82,4068.9,49.2463591,-123.1711234
885,2716 YALE STREET,3/15/2019,1380000,99,1628,1944,75,4129.75,49.2904469,-123.0487817
886,3370 MACDONALD STREET,11/4/2019,1590000,24,2100,1963,56,5125.49,49.2566678,-123.1678841
887,8515 CORNISH STREET,10/15/2019,2210000,6,2971,1995,24,5115.0,49.20938779999999,-123.1424816
888,3487 NORMANDY DRIVE,2/18/2020,2379047,4,3887,2019,1,4510.0,49.2523679,-123.0280856
889,2814 W 20TH AVENUE,10/16/2019,2505000,89,2708,1986,34,4880.0,49.2543721,-123.1681964
890,4173 W 14TH AVENUE,10/17/2019,2850000,8,2504,1995,24,4026.0,49.2602621,-123.1992357
891,2955 GRANT STREET,10/8/2019,1500800,0,2586,1991,28,4254.5,49.2715814,-123.0426593
892,7537 HUDSON STREET,6/12/2019,2945000,21,3615,2001,18,6031.5,49.2167095,-123.1344517
893,2507 E KENT AVENUE NORTH,5/10/2020,1175000,5,1443,1994,26,2288.74,49.2060544,-123.0558385
894,2836 E 23RD AVENUE,6/3/2019,1190000,35,1972,1955,64,3960.0,49.2494911,-123.045878
895,1570 W 64TH AVENUE,4/23/2019,1984000,75,2828,1920,99,4029.3,49.2129385,-123.142649
896,825 E 31ST AVENUE,10/18/2019,2335000,3,2431,2017,2,3300.0,49.2427092,-123.0873119
897,4625 DUMFRIES STREET,6/10/2019,1665000,140,2288,1998,21,4440.0,49.2433975,-123.0738894
898,215 E 36TH AVENUE,11/26/2019,1500000,1,1951,1941,78,4806.7,49.238364,-123.1007976
899,3242 W 29TH AVENUE,2/8/2020,2512000,16,2950,1967,53,5200.0,49.2459121,-123.1769812
900,995 PENTICTON STREET,3/9/2020,2380000,5,2343,1977,43,3630.0,49.2760615,-123.0522303
901,3721 W 11TH AVENUE,4/20/2020,2150000,12,2192,1995,25,3663.0,49.2627901,-123.1865707
902,1414 E 60TH AVENUE,8/13/2019,1380000,37,1841,1952,67,5313.14,49.215263,-123.0766374
903,3427 DIEPPE DRIVE,2/13/2019,1150000,212,1580,1948,71,4620.0,49.2538478,-123.0249787
904,1159 E 27TH AVENUE,2/3/2020,1375000,7,1836,1947,73,4356.0,49.2467447,-123.0811446
905,3516 W 3RD AVENUE,9/4/2019,2650000,8,3310,1912,107,3986.0,49.2692122,-123.182173
906,1278 KASLO STREET,3/9/2020,1660000,8,2072,2005,15,3828.0,49.2736562,-123.0466032
907,2476 GALT STREET,3/23/2020,1280000,14,2381,1967,53,4026.0,49.2413862,-123.0552576
908,4187 W 11TH AVENUE,11/25/2019,2338000,1,2570,1925,94,4026.0,49.2629813,-123.1995732
909,1519 W 33RD AVENUE,8/6/2019,2438000,99,3043,2015,4,4305.0,49.2421686,-123.1405895
910,2672 E 57TH AVENUE,11/22/2019,2171428,26,3491,2019,1,4062.0,49.2178428,-123.0531328
911,2196 W 6TH AVENUE,10/6/2019,2490000,36,2502,1912,107,3400.0,49.26625019999999,-123.1549686
912,505 SKEENA STREET,6/3/2019,1549000,7,2881,1930,89,3960.0,49.2800193,-123.0287625
913,2225 W 16TH AVENUE,1/2/2019,2080000,168,2114,1908,111,6250.0,49.2575251,-123.1561747
914,3568 TURNER STREET,10/29/2019,1230000,40,2101,1992,28,3498.0,49.2788732,-123.0267103
915,7308 ANGUS DRIVE,5/28/2019,2180000,18,2883,1940,79,7434.0,49.2192462,-123.1479002
916,3456 W 36TH AVENUE,10/24/2019,3000000,135,3893,1994,26,6512.0,49.2393037,-123.1811074
917,2880 W 24TH AVENUE,8/30/2019,2743000,31,2414,2008,11,4030.0,49.2507758,-123.169677
918,1950 NANTON AVENUE,10/18/2019,3000000,4,4158,1920,99,7732.5,49.24739169999999,-123.1493316
919,4648 WINDSOR STREET,2/10/2020,1660000,5,2261,1988,32,3539.25,49.2429427,-123.0837147
920,7455 WEST BOULEVARD,9/16/2019,1709000,8,2188,1941,78,4800.0,49.2176132,-123.1498141
921,2276 E 52ND AVENUE,4/20/2020,1245000,1,2414,1986,34,4322.01,49.2219061,-123.060263
922,2455 W 10TH AVENUE,11/19/2019,2680000,11,3334,1930,89,6250.0,49.2632236,-123.1613803
923,3730 W 15TH AVENUE,3/9/2020,2110000,60,2165,1915,105,4026.0,49.2587294,-123.1867019
924,703 HEATLEY AVENUE,7/25/2019,738000,196,1153,1901,119,1525.0,49.278251,-123.08991
925,4080 W 35TH AVENUE,3/6/2020,2200000,9,2016,1948,72,4257.0,49.2402866,-123.196126
926,3208 E 53RD AVENUE,6/6/2019,2680000,0,4436,2019,0,5499.36,49.2211046,-123.0386525
927,91 E 40TH AVENUE,10/5/2019,1550000,30,1676,1944,75,4026.0,49.2347871,-123.1038774
928,757 E 59TH AVENUE,11/18/2019,2300000,1,3664,2019,0,3996.0,49.21667619999999,-123.0891286
929,640 E GEORGIA STREET,5/27/2019,1860000,100,3335,1895,124,3050.0,49.2782353,-123.0905799
930,2709 WILLIAM STREET,2/3/2020,1690000,15,2152,1927,93,3564.0,49.2743547,-123.0490358
931,4292 KASLO STREET,8/22/2019,1058000,21,1593,1934,85,3071.2,49.2466512,-123.0468169
932,303 E 51ST AVENUE,7/29/2019,1582500,14,2525,1993,26,4160.0,49.2239487,-123.0994427
933,5232 HOY STREET,7/29/2019,1070000,95,1735,1950,69,3804.0,49.2369295,-123.0259904
934,7827 CARTIER STREET,9/10/2019,1865000,89,2347,1979,40,4026.0,49.2146914,-123.1379868
935,250 E 61ST AVENUE,7/4/2019,935000,5,1620,1910,109,3286.0,49.2148545,-123.1008517
936,369 E 30TH AVENUE,2/20/2020,1575000,2,1905,1910,110,1956.1,49.243405,-123.097992
937,5818 ALMA STREET,2/28/2020,2570000,9,3357,1929,91,6830.0,49.23365980000001,-123.1865213
938,1270 KELOWNA STREET,3/19/2020,1035000,17,2450,1945,75,3826.0,49.2738853,-123.0424378
939,2142 NAPIER STREET,4/14/2020,1560000,6,2069,1911,109,4026.0,49.2745636,-123.0607715
